gene_id,CK_1,CK_2,TR_1,TR_2,CKK_1,CKK_2,TRR_1,TRR_2
Os01g0153500,9,0,0,0,0,0,0,0
Os01g0153550,0,0,0,0,0,0,0,0
Os01g0153600,0,0,0,0,0,0,0,0
Os01g0153625,0,0,0,0,0,0,0,0
Os01g0153700,88,162,137,118,95,149,85,23
Os01g0153800,0,0,0,0,21,8,9,18
Os01g0153900,0,0,0,0,0,0,0,0
Os01g0153950,4,0,0,0,0,0,0,0
Os01g0154000,54,38,109,42,15,37,59,67
Os01g0154100,0,0,0,0,0,0,0,0
Os01g0154200,7,0,3,7,0,0,11,0
Os01g0154250,0,0,7,0,0,5,0,3
Os01g0154300,0,0,0,0,0,0,0,0
Os01g0154500,0,0,5,0,0,0,0,4
Os01g0154550,0,0,0,0,0,0,0,0
Os01g0154600,244,151,149,94,54,47,69,74
Os01g0154950,0,4,0,7,0,4,0,0
Os01g0155000,16,15,0,0,5,0,11,0
Os01g0155200,17,29,30,24,3,6,0,0
Os01g0155300,0,0,0,0,0,0,0,0
Os01g0155400,1468,1672,1633,1547,1470,1378,1129,1164
Os01g0155500,1375,1652,812,837,1153,1449,1519,555
Os01g0155600,4064,4077,4728,5788,6841,7002,4451,3283
Os01g0155800,19,132,0,34,6,0,12,8
Os01g0156000,0,0,0,0,0,0,0,0
Os01g0156300,15,65,27,59,0,12,8,0
Os01g0157200,4,0,0,0,0,0,0,0
Os01g0157400,0,0,0,0,0,0,0,0
Os01g0157500,7,5,0,7,3,0,0,0
Os01g0157600,17,10,4,22,0,0,0,0
Os01g0157700,13,0,4,25,0,3,0,2
Os01g0157800,49,28,127,99,107,112,95,53
Os01g0157900,1186,1766,1223,1397,2329,2896,2215,2810
Os01g0158000,598,789,1210,1352,1586,1744,739,884
Os01g0158100,1159,1171,1427,1530,382,443,723,897
Os01g0158200,2252,1873,1143,1777,379,548,489,330
Os01g0158400,680,1087,245,205,63,78,51,83
Os01g0158500,198,206,243,383,1227,1347,615,428
Os01g0158533,8,4,5,0,18,31,9,0
Os01g0158566,31,34,61,25,49,37,33,44
Os01g0158600,22,33,155,181,337,432,164,113
Os01g0158800,0,0,0,0,0,0,0,0
Os01g0158900,47,171,162,223,2934,2618,1634,1045
Os01g0159000,5,0,37,207,5294,4091,68,105
Os01g0159200,27,0,26,0,1,238,58,52
Os01g0159250,0,0,0,0,0,0,0,0
